# id,ConstantLostPacketCount,LostCount,LostDistWeight,LostPacketCount,inRcvry,inSS,Rlmrtt,Rlsrtt,Rsprtt,type
32767, 1, 1, 2.0000, 1, 1, 0, 1.0157, 0.9756, 0.9965, 0
32769, 3, 3, 0.4622, 1, 1, 0, 1.0096, 0.9765, 0.9967, 0
32770, 4, 4, 0.3150, 1, 1, 0, 1.0126, 0.9819, 0.9974, 0
3, 6, 2, 7.9370, 1, 1, 0, 1.2922, 0.9848, 0.9978, 1
5, 6, 1, 28.5774, 6, 0, 0, 1.1807, 0.9526, 0.9933, 1
6, 7, 2, 27.7795, 1, 1, 0, 1.1867, 0.9625, 0.9947, 1
32775, 5, 4, 0.7875, 1, 1, 0, 1.0047, 0.9873, 0.9982, 0
32776, 6, 5, 0.5848, 1, 1, 0, 1.0086, 0.9923, 0.9989, 0
32778, 1, 1, 100.0000, 1, 0, 0, 1.0556, 1.0224, 1.0032, 0
14, 0, 1, 100.0000, 1, 1, 0, 1.0240, 0.9645, 0.9950, 1
17, 10, 3, 23.1120, 1, 1, 0, 1.1116, 0.9339, 0.9906, 1
18, 7, 1, 1.8898, 7, 1, 0, 1.5167, 1.1363, 1.0199, 1
22, 5, 2, 6.7465, 1, 1, 0, 1.2005, 0.9351, 0.9908, 1
32791, 5, 4, 15.7490, 1, 1, 0, 1.1709, 1.0852, 1.0123, 0
32793, 8, 6, 9.1720, 1, 1, 0, 1.1621, 1.0530, 1.0076, 0
26, 7, 3, 6.2403, 1, 1, 0, 1.1564, 0.8871, 0.9841, 1
32795, 1, 1, 1.0000, 1, 1, 0, 1.0630, 0.9690, 0.9956, 0
32797, 1, 1, 1.0000, 1, 1, 0, 1.0587, 0.9874, 0.9982, 0
32798, 2, 2, 0.3969, 1, 1, 0, 1.1664, 1.0760, 1.0110, 0
32800, 2, 2, 0.3969, 1, 1, 0, 1.0492, 0.9654, 0.9951, 0
32801, 1, 1, 1.0000, 1, 0, 0, 1.0369, 0.9499, 0.9929, 0
32802, 1, 1, 5.0000, 1, 0, 0, 1.0093, 0.9568, 0.9939, 0
32805, 5, 4, 0.7875, 1, 1, 0, 1.0584, 1.0076, 1.0011, 0
32814, 4, 4, 0.4725, 1, 0, 0, 1.0231, 0.9991, 0.9999, 0
