# id,ConstantLostPacketCount,LostCount,LostDistWeight,LostPacketCount,inRcvry,inSS,Rlmrtt,Rlsrtt,Rsprtt,type
0, 2, 1, 70.7107, 2, 0, 0, 1.1476, 1.0726, 1.0105, 1
1, 3, 1, 22.5167, 3, 0, 0, 1.0743, 0.8732, 0.9822, 1
2, 5, 1, 8.9443, 5, 0, 0, 1.2867, 0.9785, 0.9969, 1
3, 6, 2, 7.9370, 1, 1, 0, 1.2922, 0.9848, 0.9978, 1
4, 7, 3, 4.6224, 1, 1, 0, 1.2585, 0.9641, 0.9949, 1
5, 6, 1, 28.5774, 6, 0, 0, 1.1807, 0.9526, 0.9933, 1
6, 7, 2, 27.7795, 1, 1, 0, 1.1867, 0.9625, 0.9947, 1
7, 8, 3, 16.1784, 1, 1, 0, 1.1522, 0.9423, 0.9918, 1
8, 5, 1, 18.3358, 5, 0, 0, 1.1675, 1.0612, 1.0088, 1
9, 6, 2, 16.2709, 1, 1, 0, 1.1734, 1.0578, 1.0083, 1
10, 7, 3, 9.4759, 1, 1, 0, 1.1409, 1.0249, 1.0036, 1
11, 10, 1, 31.6228, 10, 0, 0, 1.1192, 0.9986, 0.9998, 1
12, 11, 2, 39.6850, 1, 1, 0, 1.1338, 1.0102, 1.0015, 1
13, 12, 3, 23.1120, 1, 1, 0, 1.1425, 1.0156, 1.0023, 1
14, 0, 1, 100.0000, 1, 1, 0, 1.0240, 0.9645, 0.9950, 1
15, 8, 1, 35.3553, 8, 0, 0, 1.1031, 0.9079, 0.9870, 1
16, 9, 2, 39.6850, 1, 1, 0, 1.1085, 0.9225, 0.9891, 1
17, 10, 3, 23.1120, 1, 1, 0, 1.1116, 0.9339, 0.9906, 1
18, 7, 1, 1.8898, 7, 1, 0, 1.5167, 1.1363, 1.0199, 1
19, 8, 2, 1.9843, 1, 1, 0, 1.5229, 1.1212, 1.0176, 1
20, 9, 3, 1.1556, 1, 1, 0, 1.5255, 1.1061, 1.0154, 1
21, 4, 1, 8.5000, 4, 0, 0, 1.1954, 0.9226, 0.9891, 1
22, 5, 2, 6.7465, 1, 1, 0, 1.2005, 0.9351, 0.9908, 1
23, 6, 3, 3.9290, 1, 1, 0, 1.1880, 0.9341, 0.9907, 1
24, 5, 1, 12.0748, 5, 0, 0, 1.0975, 0.8091, 0.9734, 1
25, 6, 2, 10.7150, 1, 1, 0, 1.1005, 0.8309, 0.9764, 1
26, 7, 3, 6.2403, 1, 1, 0, 1.1564, 0.8871, 0.9841, 1
27, 2, 1, 2.8284, 2, 1, 0, 1.1093, 0.8424, 0.9780, 1
28, 3, 2, 1.5874, 1, 1, 0, 1.1147, 0.8631, 0.9808, 1
29, 4, 3, 0.9245, 1, 1, 0, 1.5128, 1.1468, 1.0214, 1
30, 3, 1, 1.7321, 3, 0, 0, 1.2905, 0.9484, 0.9927, 1
31, 4, 2, 1.1906, 1, 1, 0, 1.2951, 0.9576, 0.9940, 1
32, 5, 3, 0.6934, 1, 1, 0, 1.2606, 0.9401, 0.9915, 1
33, 1, 1, 7.0000, 1, 1, 0, 1.0970, 0.9212, 0.9889, 1
34, 2, 2, 2.7780, 1, 1, 0, 1.1251, 0.9514, 0.9931, 1
